"","question"
"137","본인은 인내심있는 성격이라고 생각하는가? 예시를 들어보세요."
"138","자기소개해주세요."
"139","이전 회사퇴사 사유"
"140","석사 학위 이후 계획"
"141","사회생활 중 어려웠던 경험"
"142","자신의 성격은?"
"143","경력 사항은?"
"144","구직기간 동안 무엇을 했는지?"
"145","1분자기소개해보세요"
"146","자소서 경력질문"
"147","힘들엇던 경험 극복사례"
"148","본인의 커리어 골은 무엇이며 어떤 역할을 기대하고 있습니까?"
"149","본인이 생각하는 SK이노베이션의 비즈니스 측면에서의 SWOT 분석은?"
"150","비즈니스 상황을 제시하며 이러한 경우 본인이 제시할 수 있는 솔루션은?"
"151","1분 자기소개서"
"152","지원동기"
"153","지원기간 근무 및 환경"
"154","박사과정은 생각안해봤는지?"
"155","왜 우리회사에 오고싶은가?"
"156","자소서 기반의 날카로운 질문들"
"157","쉬는 날 어떻게 시간을 보내는가?"
"158","나보다 나이가 어린 사람이 선임일 경우 어떨거 같은지?"
"159","자신의 강점"
"160","조경분야에서 경험한 것은 무엇인가?"
"161","현장에서 동료들과 어떻게 함께 일을 할 것인가?"
"162","혹서 또는 혹한에도 야외에서 일할 수 있는가?"
"163","전 직장에서 제일 인상깊었던 일"
"164","패션 트렌드를 어떻게 알아가고있는지"
"165","지원동기"
"166","현재 회사도 좋은데 lg화학을 지원한 이유는?"
"167","자기소개 1분"
"168","자기 소개에서 말한 경력사항을 자세히 말해보세요"
"169","경력이 짧은데 왜 당신을 뽑아야하는지 이유를 말해보세요"
"170","오는 거리"
"171","단기로 할수 있는지"
"172","스캔업무 경험 있는지"
"173","자신의 미래의 종착지와 LG화학을 연관시켜 애기해보세요"
"174","자기 자신을 한가지 단어로 표현하고 이유를 말해보세요"
"175","자격증을 왜 많이 땄는지"
"176","자신이 딴 자격증은 LG화학에게 어떤 도움이 되는지"
"177","자신이 집과 먼 곳에서 근무하게 된다면 직무에 지장이 가지는 않는지"
"178","경력을 토대로한 자기소개"
"179","LG화학에서의 업무 계획"
"180","지원 동기"
"181","보유 기술 질문"
"182","해당 경험 질문"
"183","대처능력"
"184","지원동기"
"185","팀원과 협력한 경험"
"186","실패했던 경험"
"187","인천지역이 어떻게 재생되면 좋을지, 본인의 역량이 어떻게 도움이 될지"
"188","지원한 지역의 현재 도시재생 현황은?"
"189","인턴십이 끝나도 계속해서 이 분야에서 일을 할 것인가"
"190","생산에서 가장 중요한 것은?"
"191","우리공장 제품은 뭐가 있나?"
"192","나이어린 선배도 있을 수 있는데 어떤 마음가짐으로 일을 하겠는가?"
"193","집이 어딘지, 어디서 왔는지(집 가까운 사람을 선호하는 분위기)"
"194","우리 부서가 어떤 연구를 하는지 알고 있는지"
"195","석사 때 했던 실험이 우리 직무와 비슷한데 모든 과정을 다 할 줄 아는지"
"196","석사 때 논문들이 대부분 어떤 내용인지"
"197","그 외 다뤘던 실험에 대한 자세한 꼬리질문들"
"198","감압변과 안전밸브차이."
"199","psm 운영 시 어려웠던점은?"
"200","예전 회사와 식품 회사는 다른데 어떻게 관리할 생각인지"
"201","식품영업이 무엇이라고 생각하는가?"
"202","다른 회사에도 지원했는가?"
"203","타인과 의견 충돌 시 어떻게 대처하는 스타일인가?"
"204","경력사항 1분 소개"
"205","자신의 성격"
"206","평소 인간관계"
"207","본인은 CJ제일제당에서 어떠한 인재가 될 수 있는가?"
"208","식품 관련 일을 하기 위해 노력한 것은?"
"209","지원 공장에 지원한 이유?"
"210","CJ제일제당에 지원한 이유?"
"211","가공식품이 건강에 미치는 영향?"
"212","선배가 직무 수행에서 불법을 저질렀습니다. 어떻게 대처하시겠어요?"
"213","본인은 열심히 살아왔다고 생각하세요?"
"214","가장 기억에 남는 것이 무엇인가요?"
"215","공압과 유압에 대해서 면접관에게 설명해주세요"
"216","회사를 지원한 계기"
"217","회사에서 힘든 일이 있을때 해결은 어떻게 하겠느냐"
"218","석사 때 연구주제에 관한 질문"
"219","석사 때 연구했던 것을 회사에서 어떻게 써먹을 수 있을지"
"220","본인의 연구 주제에 대한 기여도"
"221","LG디스플레이만이 가지고 있는 제품은?"
"222","W-OLED에 대한 설명?"
"223","LG를 지원하게 된 이유?"
"224","회사에대해 아는게 무엇이 있나요"
"225","입사하여 하고싶은 업무는"
"226","왜 지원했나요"
"227","지원동기"
"228","본인의 직무관련 장점"
"229","본인의 성격의 단점"
"230","부모님과의 관계"
"231","상사와 트러블시 태도"
"232","회계학적 지식"
"233","언어능력테스트"
"234","회사에서 이루고 싶은 목적"
"235","인생에서의 목적"
"236","전공공부를 한 이유"
"237","자기소개 및 지원동기"
"238","회사에 대해 아는지"
"239","경영쪽 직무가 잘 맞는지"
"240","기존에 어떠한 직무를 하였는지"
"241","본인이 이 직무를 선택한 이유"
"242","본인이 선발 되어야 하는 이유"
"243","경력이 어떻게 되나"
"244","특허에 대해서 잘 아나?"
"245","우리가 본인과에 맞지 않는 부분도 있는데 왜 지원했나?"
"246","가장 재미있었던 대학 강의는?"
"247","뉴딜정책에서의 kt의 구체적 역할은?"
"248","ip 클라스 설명해보라"
"249","자기소개를 해보세요"
"250","본인 전공을 지원 직무에 응용할 방안에 대해 생각해본 것이 있나"
"251","자소서에 oo내용을 지원 동기라고 적었는데, 좀 더 상세하게 설명해줄 수 있나"
"252","도피성 지원이 보이는데 본인이 왜 해당 직무가 맞는지 면접관을 설득해 보세요."
"253","거주지와 달라도 상관이 없나요?"
"254","희망 연봉은 어떻게 되나요?"
"255","타 회사에 있었는데 왜 여기로 이직 지원을 했나요?"
"256","강사로서 하고 싶은 일은?"
"257","통신업무에 대해 얼마나 알고 있는가?"
"258","어떤 강의를 하고 싶은가?"
"259","특허 관련해서 알고 있는 것"
"260","우리 회사가 하는 일은"
"261","입사후 어떻게 할 것인가"
"262","자기소개 30초 이내로 간단하게"
"263","2금융권과 1금융권의 차이점? 본인이 느낀 2금융권의 장단점?"
"264","(롤플레잉면접)근무중 취준생이 내방해 계속 질문을 한다면 어떻게 대처할 것인지?"
"265","뭐하다가 왔나"
"266","유통쪽 경험이 있나"
"267","우리 회사중 방문한 곳과 느낀점"
"268","자기소개"
"269","이마트와 이마트 트레이더스에 차이점"
"270","다른 유통업에 경험이 있다면 왜 이마트로 지원을 하였는지"
"271","대체적으로 다른 곳에서 일해보았는데 유통이나 영업부분이라면 그것에대하여 질문한다."
"272","원하는 곳에 배치 되어지지 않았을 때 어떻게 할 것인가"
"273","어렸을 때 부터 지금까지 이룬 것."
"274","이마트가 다른 대형마트보다 앞서 나갈 수 있었던 이유"
"275","앞으로 이마트에 방향"
"276","요새 대형마트들이 다 무너지고 있는 실정에서 어떻게 극복할 것인가"
"277","이번 채용전 이마트에브리데이를 방문한 경험이 있는가?"
"278","육체적으로 힘들수 있다. 잘버틸수있는가?"
"279","자기소개서 항목중 1~2개 항목 질문"
"280","간략한 자기소개"
"281","지원하는 업종에서 우리 회사가 다른 회사와의 차별점은?"
"282","업무에서 가장 중요하다고 생각되는 요소는 무엇인가"
"283","자기소개, 직무내용, 지원동기"
"284","스트레스 해소 방법"
"285","마지막으로 하고 싶은 말"
"286","경력사항에 대한 상세한 질문과 퇴사사유"
"287","스트레스 관리"
"288","어떤업무인지 알고 지원했는가"
"289","삼성화재 텔러가 어떤 업무 하는지 아는가?"
"290","우리 회사를 지원하게 된 이유"
"291","전에 다니던 회사는 어떤회사인가?"
