"","question"
"1685","전환되면 여기에 올 건가요?"
"1686","졸업 프로젝트 주제를 보니, 학사 치고 괸장히 advance한 프로젝트를 진행했는데, 석사 생각은 없나요?"
"1687","본인의 단점은 무엇인가요?"
"1688","취미생활에 대해 말해보세요."
"1689","상사와 이견이 있을 때는 어떻게 할 것인가요?"
"1690","디자인 패턴에 대해 아는 대로 말해보라."
"1691","왜 삼성이어야 하는가?"
"1692","지금 부르면 30분 내로 달려온 친구가 몇 있는가?"
"1693","장점은?"
"1694","학점이 좋지 않은 이유?"
"1695","설비엔지니어 선택 이유?"
"1696","그렇다면 우리는 어떻게 해야 하나?"
"1697","디지털 프라자에 가 봤나?"
"1698","삼성전자 CE/IM 사업부가 어떻게 구성되는지 아는가?"
"1699","학점이 높은데, 공부만 했나?"
"1700","3D 프린터와 같은 Rapid Prototyping tool 사용 경험이 있나?"
"1701","가장 인상 깊었던 프로젝트 경험에 대해 말해보시오."
"1702","가장 힘들었던 경험에 대해 말해보시오."
"1703","지원자는 엔지니어와 디자인의 융합을 어떻게 생각하는가?"
"1704","1년 동안 휴학을 했는지 말해보시오."
"1705","1분 동안 PR을 해보시오."
"1706","공백 기간 동안 무엇을 했는가?"
"1707","마지막 학기에 F는 왜 받았는가?"
"1708","마지막으로 한마디 하고 싶은 말이 있는가?"
"1709","무언가에 도전했던 경험에 대해 말해보시오."
"1710","반도체 공정과 관련한 세부 경험이 있는가? 자세히 말해보시오."
"1711","삼성이 사회공헌사업을 더 확장해야 하는가?"
"1712","성격의 장단점에 대해 말해보시오."
"1713","아르바이트 경험에 대해 말해보시오."
"1714","이수한 전공이 부족해보이는데, 그 이유가 무엇이라 생각하는가?"
"1715","입사 후 어떤 일을 하고 싶은가?"
"1716","자기소개해보시오."
"1717","존경하는 인물은 누구인가? 해당 인물이 한 명언을 말해보시오. 그리고 그 명언이 지원자의 인생에 어떤 영향을 미쳤는가?"
"1718","졸업유예를 하지 않은 이유는 무엇인가?"
"1719","지원 동기가 무엇인가?"
"1720","지원자의 단점은 무엇인가?"
"1721","지원한 부서에서 전공과 관련해서 어떠한 역할을 할 수 있을지에 관해 영어로 답변하라."
"1722","집 앞 신호등이 빨간 불이지만, 차가 오지 않는다면 건너겠는가?"
"1723","창의적으로 문제를 해결한 경험에 대해 말해보시오."
"1724","프로젝트를 진행하면서 어려웠던 점이 있나? 어려운 점을 극복하기 위해 지원자가 한 역할은 무엇이었는가?"
"1725","이력서에 적힌 해외경험을 통해 지원자가 느낀 점과 지원자의 강점은 무엇인가?"
"1726","지원자의 장단점은 무엇인가?"
"1727","왜 여기에 지원했는가?"
"1728","10년 후 손목 터널증후군 환자가 줄어든다. 왜 그런가?"
"1729","본인이 원하는 부서가 아니라도 일할 수 있는가?"
"1730","와서 어떤 일을 하고 싶은가?"
"1731","전공과 결부하여 지원자가 회사에 어떤 기여를 할 수 있는지 말해보시오."
"1732","직무 관련하여 얼마나 알고 있는가?"
"1733","직장 상사가 부당한 일을 처리하라고 시킨다면 당신은 어떻게 대답할 것인가?"
"1734","취업 전 공백기에는 무엇을 했는가?"
"1735","그럼 그 안전사고의 예방법은 어떤 것들이 있을까요?"
"1736","여기 보니 존경하는 사람이 OO OOO 선생인데, 이 사람이 누구죠?"
"1737","자동차를 자전거로 대체하는 창의적인 방안을 설명해주셨는데, 자전거가 많아지면 문제점은 없을까요?"
"1738","특기란에 `다른 사람의 마음을 얻는 법` 이건 뭐죠?"
"1739","10년 후 손목터널증후군 환자가 줄어든다. 왜 그렇다고 생각하는가?"
"1740","인성면접에서 인생에서 가장 중요하게 생각하는 것이 무엇인가."
"1741","창의성 면접에서 본인이 창의적인 사람이라고 생각하는 이유는 무엇인가?"
"1742","요즘 각 기업에서PB상품을 많이 내어 놓는다. 그 기업 브랜드 상품을 어떻게 바라보며 어떻게 활용할 것인가?"
"1743","높이 위치 촉각 등을 이용하여 맞벌이 부부들이 아기를 키울 때 도움이 될 수 있는 20년 뒤 기술을 작성하여라."
"1744","본인이 생각하는 겸손함의 정의가 무엇인가?"
"1745","삼성전자에 대해 알고 있는 것에 대해 말해주십시오."
"1746","DS부문, IM부문, CE부문을 말씀하셨는데 정확히 어떤 의미를 뜻하는지 알고 계십니까?"
"1747","자기소개해보세요"
"1748","왜 삼성에 지원했나요?"
"1749","취미가 무엇인가요?"
"1750","감명깊게 읽은 책은 무엇인가?"
"1751","살면서 힘들었던 경험은 언제였는가? 극복방안은?"
"1752","마지막으로 하고 싶은 말이 있는가?"
"1753","요즘 삼성과 관련하여 눈여겨 볼 이슈에 대하여"
"1754","자기주장이 강한편인가?"
"1755","회사의 제품에 대해 소개해 보시오"
"1756","자신을 남에게 빗대어 표현한다면?"
"1757","1억이 생기면 무엇을 하겠는가?"
"1758","삼성의 이미지는 어떠한가?"
"1759","삼성 핸드폰이 소프트웨어에서 부족한 점이 무엇이라고 생각하는지 구체적으로 말하시오"
"1760","소프트웨어관련직종에 종사하는 아는사람이 있는가?"
"1761","어떤 스타일의 직원과 일하고 싶으며, 반대로 어떤 스타일의 직원과는 일을 하기 싫은지?"
"1762","본인이 살아오면서 가장 정직하게 했던 행동은?"
"1763","희망연봉이 어떻게 되세요???"
"1764","노조 없는 회사에 대한 본인의 의견은?"
"1765","최근들어 가장 화가 났던 경험은?"
"1766","평소 어울리는 친구들을 소개해보시오"
"1767","이름이 뭐예요???"
"1768","조직내에서 팀웍이 잘 이루어 질려면 무엇이 가장 중요하다고 생각합니까?"
"1769","학교는 어디 나왔써요????"
"1770","회사규정에 따른다고 되어 있는데 실제 생각하고 있는 연봉이 있나요??"
"1771","실수를 통해서 얻은 교훈이 있다면???"
"1772","다른 회사에 지망했던 곳은 어디입니까?"
"1773","당신의 꿈은 무엇입니까?"
"1774","자기소개"
"1775","가장 하고싶은것, 가장 갖고싶은것, 가장 되고싶은것은?"
"1776","자기소개"
"1777","학생시절 아르바이트를 많이 했나요?"
"1778","학생시절 아르바이트를 많이한 경험이 있습니까?"
"1779","자신이 존경하는 인물은 누구인가?"
"1780","기업이란 무엇이라고 생각하세요?"
"1781","영어 잘하시나요?"
"1782","자바를 활용한 일상생활에서의 도구들을 한번 말해보세요."
"1783","다른 사람들과 협력하여 좋은 결과를 이루어낸 적이 있는가?"
"1784","마지막으로 하고 싶은 말은?"
"1785","성격이 밟으면 오히려 속으로 상처가 많은 법이다 그렇지 않은가?"
"1786","스피킹 점수가 이 정도면 어느 수준인가?"
"1787","앞으로 삼성전자의 나아갈 방향은?"
"1788","어느 분야에서 일하고 싶은가? 3교대도 상관 없는가?"
"1789","왜 삼성전자에 들어오고 싶은가? 단순히 대기업이기 때문에?"
"1790","대학원을 선택한 이유는?"
"1791","저번에 지원했을 때와 직무를 바꿔서 지원한 이유는?"
"1792","편입을 한 이유는?"
"1793","존경하는 인물은?"
"1794","사회적 기업(=NGO)의 역할에 대한 견해를 밝히시오"
"1795","리더십이란 무엇인가 사례를 들어 설명하세요"
"1796","회계란 무엇인가?"
"1797","근무시 여가시간이 많이 사라질텐데 상관없는가?"
"1798","단점을 깨닫게된 경험을 말해보라"
"1799","리더로서 조직의 변화를 이끈 경험이 있는가?"
"1800","본인의 전공 관련하여 가장 중요한 기초지식이 무엇이라고 생각하는가?"
"1801","본인이 지원한 직무 이외의 직무를 배정받아도 괜찮은가?"
"1802","어학연수를 다녀오지 않은 이유는? 후회는 하지 않는가?"
"1803","영어성적이 좋지않은데 외국어 능력향상에는 관심이 없는가?"
"1804","우리 회사를 지원한 동기는 무엇인가?"
"1805","자기PR을 1분간 해보아라."
"1806","제주 해군기지에 대해 어떻게 생각하는가?"
"1807","지원동기를 자신의 장점과 연관지어 말해보라."
"1808","카카오톡에 저장되어있는 친구들의 수는? 많다고 생각하는가? 적다고 생각하는가?"
"1809","경력 , 장단점을 말하세요"
"1810","노조에 대해 어떻게 생각하는가?"
"1811","자신의 장단점을 위주로 1분 자기소개를 해보세요"
"1812","본인의 장점과 단점을 어떻게 극복했는지까지 넣어 1분간 자기소개해보세요"
"1813","간단히 자기소개를 해보세요"
"1814","본인 취미나 특기는 어떻게 되나요?"
"1815","인턴 근무하면서 배운 점은 무엇이며 스스로 고쳐나가야 할 점은 무엇인가?"
"1816","회사에서 지정해 준 출근일에 바로 출근 가능한가요?"
"1817","1분 자기소개를 해보라"
"1818","강자와 약자의 소통을위해 필요한 것이 무엇인가?"
"1819","공교육의 문제점이 무엇인가?"
"1820","그 동안 면접 몇 번이나 보았나?"
"1821","노조가 파업하는 이유는 무엇이라고 생각하나?"
"1822","당신을 뽑아야 하는 이유가 있나?"
"1823","마지막으로 하고 싶은 말을 해보세요"
"1824","마지막으로 할 말이나 질문 있는가?"
"1825","면접준비는 얼마나 했는가?"
"1826","반값등록금 시위에 참여하였나? 참여하지 않았다면 그 이유는 무엇인가?"
"1827","본인의 단점을 극복하기 위해 한 행동을 구체적으로 설명하라"
"1828","본인의 취미를 말해보세요"
"1829","분양가 상한가 폐지에 대한 논란에 대해 찬반토론해보라"
"1830","사회구조에 문제가있다면 거기에 대항할것인가?"
"1831","삼성전자 기업문화에 대해 말해보라"
"1832","상사가 본인의 업무에 관해 안좋은 평가를 한다면 어떻게 할 것인가?"
"1833","입사 후 연구하고 싶은 분야나 직무 방향을 말해보세요"
"1834","장단점 위주의 자기소개를 해보라"
"1835","지원동기는 무엇인가?"
"1836","한국에는 왜 스티븐잡스 같은 사람이 안나오는가?"
"1837","한국의 기업문화는 창의력 발전에 도움이 되는가? 안된다면 그 이유를 말해보라"
"1838","한진중공업 사태에 관해 어떻게 생각하나?"
"1839","Electrowetting display를 만들 때의 비극성 용매와 극성 용질 간의 용해도 개선에 관해 PT해보라"
"1840","1분간 자기소개를 해보세요"
"1841","어학연수 당시 기억남는 일은 무엇인가?"
"1842","옴니아2 사용자 불만사태를 옴니아의 브랜드매니저로서 어떻게 해결할 것인가?"
"1843","전공학점이 낮은데 전공역량이 떨어지는게 아닌가?"
"1844","당신의 꿈은 무엇인가요?"
"1845","미래에 당신의 인생을 되돌아 봤을 때 성공한 인생일 것 같은가요?"
"1846","성격의 장단점이 포함된 자기소개를 해주세요"
"1847","최근 사회문제에 대해 어떻게 생각하나요?"
"1848","가장 어려웠던 문제를 해결한 경험은 무엇인가?"
"1849","계획했던 목표 중 가장 의미 있었던 목표가 무엇인가?"
"1850","바쁘게 활동하면서 학점이 높은 비결이 있는가?"
"1851","배터리 제조공정에서 가장 중요한 것은?"
"1852","출장이나 지방 근무가능한가요?"
"1853","전고체 배터리가 부피팽창이 이루어지지않는 이유는?"
"1854","존경하는 인물이 있나요?"
"1855","품질관리자로써 어떤 일을 해보고 싶은지?"
"1856","왜 품질 직무를 선택했는지?"
"1857","영어로 자기소개를 해보세요."
"1858","현대차의 수소산업, 넥쏘차량에 대해 아는 것 및 평가를 해보세요."
"1859","이력서에 기재된 수상내역을 처음부터 끝까지 설명해보세요."
"1860","해당 직무에 지원한 동기는?"
"1861","해당 직무에서 가장 중요한 것은?"
"1862","본인의 전공 및 수행한 프로젝트에 대해 설명해보세요."
"1863","현대자동차에서 본인에게 기대하는 것이 무엇일지 말해보세요."
"1864","재직 중임에도 지원한 이유는 무엇인가요?"
"1865","전공이 전자전기인데, 이전에 자동차에 대해 공부한 경험이 있나요?"
"1866","미래의 전장에는 어떤 기능이 있을 것 같다고 생각하나요?"
"1867","희망하는 직무가 제어 플랫폼 사양 평가 쪽인 것 같은데, 제어 로직 설계에는 관심이 있나요?"
"1868","상사가 아무것도 알려주지 않고 중요한 프로젝트를 맡겼다. 어떻게 하겠나요?"
"1869","자동차가 중간에 가다가 멈췄을때, 어떤것이 문제일까요?"
"1870","대외활동이 왜 없나요?"
"1871","다른 회사 공채에도 지원했나요?"
"1872","진행했던 프로젝트중 'OO프로젝트'의 구성인원과 역할을 설명해보세요."
"1873","딥러닝을 수행하기 위해 굳이 로봇알고리즘 직무에 지원한 이유는 무엇인가요?"
"1874","일반기계기사 자격증은 왜 취득했나요?"
"1875","스마트 팩토리란 무엇인지 설명해보세요."
"1876","기하공차란 무엇인가요?"
"1877","마지막 할말 있으면 해보세요."
"1878","생기 엔지니어로써 목표가 무엇인가요?"
"1879","협력이 회사생활에서 왜 중요한가요?"
"1880","현대자동차의 신사업은 무엇인가요?"
"1881","RC 항공기 동아리 언제 했나요?"
"1882","간단한 자기소개 및 지원동기를 말해보세요."
"1883","대학생활 중 가장 몰입한 일은?"
"1884","최근 뉴스기사 중 가장 기억에 남는 기사는?"
"1885","인사 직무 희망 동기는 무엇인가요?"
"1886","주변사람들이 평가하는 본인은?"
"1887","본인의 장점은?"
"1888","직무 지원동기를 말해보세요."
"1889","회사 지원동기는 무엇인가요?"
"1890","입사후 포부는 무엇인가요?"
"1891","자소서에 써있는 전공과 관련된 단점 말고 다른 단점을 얘기해보세요."
"1892","운동을 자주 하는 것 같은데 공부는 평소 어떻게 하나요?"
"1893","보전에서 중요하다고 생각하는 것은 무엇입니까?"
"1894","최근에 본 영화는 무엇인가요?"
"1895","가장으로 써 가장 중요하다 생각되는 것은?"
"1896","회사에서 가장 중요하다 생각 되는 것은?"
"1897","금형 지원 이유는 무엇인가요?"
"1898","팀프로젝트를 하면서 다른 팀원이 낸 아이디어를 거절한 상황이 있었는가?"
"1899","새로운 아이디어를 주로 내는 편인가?"
"1900","전시까지 얼마남지 않은 상황에서 새로운 아이디어에 대해 어느정도 성공가능성을 생각한건가?"
"1901","지방에서 근무해야한다면 어느 공장에서 근무하고 싶습니까?"
"1902","친구들과의 서로 다른 의견을 조율해본 경험이 있습니까?"
"1903","전공과 다른 직무를 선택한 이유는 무엇입니까?"
"1904","PT면접) 현대자동차의 재해율에 대해 알고있는지?"
"1905","인성면접) 만약 모두가 하기 싫은 일을 하게 됐다면 어떻게 할 것인가?"
"1906","인성면접) 꼬리질문) 그런데도 동료가 도와주지 않는다면?"
"1907","협력했던 경험은?"
"1908","지방근무 괜찮은가요?"
"1909","조직 내에서 변화를 시도한 경험?"
"1910","가장 열정적으로 했던 프로젝트 경험은 무엇인가?"
"1911","팀프로젝트를 하던 중 갈등을 겪었던 경험이 있나요?"
"1912","현대자동차가 개척하고 있는 신시장을 아는가?"
"1913","도전적인 목표를 세우고 or 도전적인 경험을 했던 프로젝트가 있나요?"
"1914","이 분야에 지원하게 된 계기가 무엇인지?"
"1915","본인은 OOO한 성격인 것 같은데 언제부터 이런 성격을 가지게 되었나요"
"1916","도전적인 목표를 세우고 or 도전적인 경험을 했던 프로젝트가 있나요?"
"1917","가동률이 무었인가요?"
"1918","자동차 생산 과정에서의 구체적 설비를 아는지?"
"1919","1분자기소개"
"1920","미래의 꿈은 무엇이냐?"
"1921","현대자동차에서 개선하고자 하는점"
"1922","선택하지 않은 대안에 대해 선택하지 않은 이유를 말해보세요."
"1923","지금까지 살아오면서 협력한 경험을 말해보세요."
"1924","가장 힘들었던 순간은 언제이고 어떻게 극복했나요?"
"1925","삶의 궁극적인 목표는 무엇인가요?"
"1926","가장 도전적이었던 경험은 무엇이었나요?"
"1927","구체적인 목표를 가지고 노력했던 경험을 자세히 말해보세요."
"1928","성취를 위해 끊임없이 노력했던 경험이 있다면 얘기해보세요."
"1929","여러 사람들과 협동해서 무언가를 해낸 경험이 있나요?"
"1930","팀으로 계획을 세워 목표를 이룬 경험이 있나요?"
"1931","프로젝트에서 주도적인 역할을 했던 경험을 말해보세요."
"1932","본인의 사수가 10년간 엔진오일교체일만 시킨다면 어떻게 할 것인가요?"
"1933","팀을 이뤄 했던 활동이 있습니까?"
"1934","기사 자격증을 취득한 이유는 무엇입니까?"
"1935","한전을 가지 않은 이유가 있습니까?"
"1936","창의성이란 무엇이라고 생각하나요?"
"1937","현대의 이미지는 어떤가요?"
"1938","위기를 극복했던 경험"
"1939","거주지와 근무지가 멀다고 생각하는 데 근무를 잘 할 수 있겠는가"
"1940","현장에서 가장 중요한 것이 무엇이라고 생각하는가"
"1941","대한민국에서 올바르게 부자가 된 사람은 몇 퍼센트라고 생각하나요?"
"1942","대한민국의 가장 큰 문제점은 무엇이라고 생각하나요?"
"1943","마지막으로 하고 싶은 말이 있습니까?"
"1944","자동차에 대한 특별한 경험이 있습니까?"
"1945","어떤 전공 지식이 설계에 적용이 될 수 있을까요?"
"1946","왜 그 안건을 지지했고, 그 단점에 대해 보완할 수 있는 점은 무엇입니까?"
"1947","왜 현대차에 지원한 이유는 무엇입니까?"
"1948","자동차 관련된 실무 경험이 있나요?"
"1949","현대차에 지원하게 된 동기를 말씀해주세요."
"1950","현대차의 문제점이라고 생각하는 것은 무엇인가요?"
"1951","품질 등급이 회사별로 어떻게 되는지 알고 있나요?"
"1952","가격경쟁력 개선 방안은 무엇이라고 생각하나요?"
"1953","친구들은 본인을 어떤 사람이라고 평가하나요?"
"1954","팀 활동 중 기억에 남는 활동이 있습니까?"
"1955","팀 활동으로 무슨 활동을 했습니까?"
"1956","품질 개선 방안에 대한 본인의 의견을 말해보세요."
"1957","품질이 필요하다고 생각하는 이유는 무엇입니까?"
"1958","회사를 선택한 이유가 무엇입니까?"
"1959","40대, 50대가 모바일 시스템을 잘 이해하지 못한다면 어떻게 해결 수 있을 것인가?"
"1960","왜 그 안건을 지지했고, 그 단점에 대해 보완할 수 있는 점은 무엇입니까?"
"1961","로또에 당첨된다면 어떤 기분이 들 것 같습니까?"
"1962","마지막에 의견을 바꿨는데 바꾼 이유가 있습니까?"
"1963","지방에서 근무를 할 수 있습니까?"
"1964","지키기 힘들었던 규칙이 있습니까?"
"1965","팀워크 활동하면서 본인이 맡았던 역할과 팀 프로젝트에 기여한 일은 무엇입니까?"
"1966","팀워크를 이루었던 경험이 있습니까?"
"1967","본인이 최근 3년 동안 도전적인 목표를 세우고 실천했던 경험이 있는가?"
"1968","학창시절 팀 프로젝트로 무엇을 했고 어떤 역할을 했는가?"
"1969","국내영업에 지원한 이유가 무엇인가?"
"1970","면접이 끝나면 누구에게 가장 감사할 것인가?"
"1971","소통이 무엇이라고 생각하는지 말해보라."
"1972","술에 대한 본인의 생각은 어떠한가?"
"1973","여성 지원자로서 강점이 무엇이 있는가?"
"1974","인턴하면서 가장 좋았던 점은 무엇인가?"
"1975","구체적으로 담당하고 싶은 업무 파트가 있나요?"
"1976","본인은 따라가는 스타일인가요? 아니면 주도하는 스타일인가요?"
"1977","본인을 가장 잘 표현해 내는 단어는 어떤 것입니까?"
"1978","타인은 OOO씨를 어떤 식으로 말하나요? 가장 맘에 드는 별명이 있습니까?"
"1979","팀에 들어가서 팀워크를 보여주었던 사례가 있으면 설명을 해 주세요."
"1980","가격 경쟁력 개선 방안에 대한 본인의 의견은 무엇입니까?"
"1981","그 회사를 선택한 이유가 무엇입니까?"
"1982","팀을 위해 희생한 경험이 있습니까?"
"1983","팀 프로젝트를 한 경험이 있습니까?"
"1984","품질 개선 방안에 대해 어떻게 생각합니까?"
"1985","품질 등급이 회사별로 어떻게 되는지 압니까?"
"1986","품질이 필요한 이유와 그렇게 생각하는 이유는 무엇입니까?"
"1987","A회사를 다니면서 지원한 이유는 무엇인가요?"
"1988","기사에서 나온 얘기 말고 직접 현대자동차를 운전하면서 느낀 장단점은 무엇인가요?"
"1989","변속기를 다단화시킬 수 있는 방법 중에 본인이 창의적으로 생각해 본 해결 방안이 있습니까?"
"1990","변속기의 단수가 많아지면 자동차에 생기는 문제점은 무엇인가요?"
"1991","본인이 제시한 창의적인 대안과, 기존에 있던 대안과의 장단점을 말해보세요."
"1992","오늘 면접이 안되면 받았던 것 모두 돌려줘야겠네요?"
"1993","A회사의 장단점은 무엇인가요?"
"1994","가장 도전적이었던 경험은 무엇입니까?"
"1995","가장 힘들었던 경험을 말해보세요."
"1996","갈등 상황이 있었나요?"
"1997","그 회사를 선택한 이유가 무엇입니까?"
"1998","그건 기사에서 나온 것 말고, 직접 현대자동차를 운전하면서 느낀 장단점은 무엇입니까?"
"1999","글로벌 엔지니어의 꿈을 이루기 위해서 몇 년이 필요한가?"
"2000","기업의 복리후생을 아십니까?"
"2001","동아리 활동을 하며 가장 어려웠던 일과 가장 행복했던 일에 대해 말해보세요 ."
"2002","마지막으로 어필하고 싶은 부분이 있다면 얘기해보세요."
"2003","마지막으로 하고 싶은 말이 있습니까?"
"2004","목표를 세워 노력한 경험이 있나요?"
"2005","본인 의견이 소수에 속하는 의견일 때 어떻게 할 것입니까?"
"2006","본인은 행복하다고 생각하나요?"
"2007","본인의 성격 중 단점은 무엇인가요?"
"2008","본인의 역할로 인한 결과는 어떻습니까?"
"2009","본인의 전공과 지원 직무를 연결하여 보세요."
"2010","선택한 직무를 위해 어떤 수업을 베웠습니까?"
"2011","선택한 직무를 위해 어떤 수업을 수강했고 무엇을 배웠나요?"
"2012","소통에서 가장 중요한 것은 무엇이낙요?"
"2013","아침밥을 먹고 왔나요?"
"2014","에어 서스펜션이 들어간 현대자동차의 차량을 말해보시오"
"2015","인생에서 가장 도전적이었던 경험은 무엇입니까?"
"2016","자기소개서에서 언급한 내용 외에 목표를 성취했던 경험이 있나요?"
"2017","자주 조장을 맡는 편인가요?"
"2018","전역후 무엇을 할 것인가요?"
"2019","졸업하고 무엇을 할 것인가요?"
"2020","졸업하고 무엇을 했나요?"
"2021","중국어 공부를 한 이유와 어떻게 공부했는지 말해보세요."
"2022","지원 동기가 무엇입니까?"
"2023","지원동기를 말해보세요."
"2024","취미가 무엇이고 취미를 가지게 된 계기가 있나요?"
"2025","클러치 최적화 방안은 무엇이 있는지 말해보시오."
"2026","팀 활동에서 갈등 상황이 있었나요?"
"2027","팀원과 트러블이 있었던 경험이 있습니까?"
"2028","팀으로 활동하면서 도전적인 경험을 이야기 해보세요."
"2029","팀을 이루어 리더십을 발휘한 경험이 있나요?"
"2030","팀 활동에 불화가 있는 경우 어떻게 해결하였나요?"
"2031","평소에도 팀에서 본인이 조장을 맡는 편인가요?"
"2032","품질 개선 방안에 대해 어떻게 생각합니까?"
"2033","프로젝트를 했던 팀의 성격과 해결 과정을 말해보세요."
"2034","행복합니까?"
"2035","현대자동차 파워트레인의 장단점에 대해 말해보시오"
"2036","현대자동차가 개발해야 할 기술은 무엇이라 생각하나요?"
"2037","현대자동차의 강점과 약점이 무엇이라고 생각합니까?"
"2038","현대자동차의 복리후생에 대해 아는 대로 말해보세요."
"2039","현대파워텍과 현대자동차를 비교해보시오"
"2040","A회사를 다니면서 지원한 이유는 무엇인가?"
"2041","A회사의 장단점은 무엇인가?"
"2042","술에 대한 본인의 생각은 어떠한가요?"
"2043","면접이 끝나면 누구에게 가장 감사할 것 같나요?"
"2044","소통이 무엇이라고 생각하는지 말해보세요"
"2045","여성 지원자로서 강점이 무엇이 있는가?"
"2046","인턴하면서 가장 좋았던 점은 무엇인가요?"
"2047","다른 사람을 도와준 적이 있습니까?"
"2048","도전을 해본 경험이 있습니까?"
"2049","살면서 어떤 도전을 하였습니까?"
"2050","알바를 하며 힘들었던 경험이 있습니까?"
"2051","편의점 알바에서 가장 힘들었던 점이 무엇입니까?"
"2052","일하고 싶은 파트가 있습니까?"
"2053","학과주점 운영을 했던 경험을 말해보세요."
"2054","한화L&C가 주최한 ~교육에서 3등을 할 수 있었던 이유가 무엇이라고 생각합니까?"
"2055","타인과 갈등을 빚었던 경험이 있습니까?"
"2056","팀으로 활동한 경험 중 가장 성실히 임했던 경험은 무엇입니까?"
"2057","What do you think about this sentence? ""Practice make perfect"""
"2058","가장 열정적으로 진행한 일이 있습니까?"
"2059","본인이 가장 열정적으로 진행한 일은 무엇이었나요?"
"2060","토론 주제에서 의견을 바꾼 특별한 이유가 있습니까?"
"2061","프로젝트 경험 중 제일 인상 깊었던 것이 무엇입니까?"
"2062","Do you have an experiance at very cold region?"
"2063","본인의 대답에서 해당 방안의 단점은 무엇이라고 생각하나요?"
"2064","조직의 목표를 위해서 헌신한 경험이 있나요?"
"2065","팀의 목표를 위해 자신이 주도적으로 활동한 것은 무엇입니까?"
"2066","프리미엄 자동차에서 가장 중요하다고 생각하는 것은 무엇인가요?"
"2067","현대자동차를 지원한 이유가 있습니까?"
"2068","팀원의욕 저하를 해결하는 방법이 있나요?"
"2069","상사가 틀린 주장을 옳다고 주장한다면 어떻게 할 건가요?"
"2070","상사가 틀린 주장을 옳다고 주장한다면 어떻게 할 것인가"
"2071","울산에 살면서 현대자동차 다니는 사람을 보면 어떤가요?"
"2072","울산에 살면서 현대자동차 다니는 사람을 보면 어떻습니까?"
"2073","그랜져 하이브리드 차량에 장착된 모터 타입은 무엇입니까?"
"2074","기하공차에 대해 설명해보시오"
"2075","대외활동을 해본 경험이 있나요?"
"2076","팀프로젝트를 진행한 경험이 있나요?"
"2077","팀프로젝트를 진행한 경험이 있습니까?"
"2078","본인이 공공기관에 비해 사기업에 어울린다고 생각하는 이유를 설명하시오."
"2079","현재 현대자동차의 문제점은 무엇이고, 그것을 해결할 수 있는 방안은 무엇인가?"
"2080","덩치 큰 고등학생 2명이 골목길에서 담배를 피우는데, 본인이라면 어떻게 할 것인가?"
"2081","단점을 말해보라."
"2082","당신이 생각하는 정의란 무엇인가?"
"2083","이들을 타이르는 것은 정의이고, 그렇지 않는 것은 정의가 아닌데, 이 상황에서 어떻게 할 것인가?"
"2084","회사에서 귀하에게 7,000만원이라는 연봉을 지급하면, 당신은 회사를 위해 무엇을 할 것인가?"
"2085","마지막으로 하고 싶은말은 무엇인가?"
"2086","열정적으로 어떤 일에 도전했던 경험에 대해 설명하시오."
"2087","팀 내에서 본인의 역할이 무엇이었느는지 설명하시오."
"2088","평소 친구들이 본인을 어떻게 평가하는지 설명하시오."
"2089","졸업 후 공백기간에 무얼 했는가?"
"2090","졸업후 공백기간에 무얼 했는지"
"2091","친구들간의 다툼이 있을때 중간에서의 본인의 해결책은 무엇인가요?"
"2092","친구들간의 다툼이 있을때 중간에서의 나의 해결책은 무엇인가?"
"2093","전공과 관련하여 수행한 프로젝트가 있는가?"
"2094","전공과 관련하여 수행한 프로젝트가 있는가?"
"2095","공대전공이지만 영업직을 선택한 이유는 무엇입니까?"
"2096","현대자동차에 지원한 이유는 무엇인가"
"2097","팀원끼리 의견이 안 맞고 부딪힌적 있는가? 있다면 어떻게 해결했는가?"
"2098","팀원끼리 의견이 안 맞고 부딪힌적?어떻게 해결했는지?"
"2099","공대에서 여학우로 살아남은 본인의 강점은 무엇이라고 생각하나요?"
"2100","공대에서 여학우로 살아남은 본인의 강점은 무엇이라고 생각하는가"
"2101","인생의 전환점이 있는가?"
"2102","현대자동차만의 장점이 있는가?"
"2103","사람들과 트러블이 생긴적이 있습니까?"
"2104","자동차가 점점 전자화되어가는 추세에서 단점을 말해보시오"
"2105","오랫동안 해온 것 중에서 가장 의미 있는 것은 무엇인가?"
"2106","이공계열 전공인데 왜 영업직을 지원했는가?"
"2107","10년 뒤 자기 모습을 말해보시오."
"2108","20대가 가기 전 꼭 하고 싶은 일을 선착순으로 10초 내로 대답하라."
"2109","골프공의 표면에 요철이 있는데, 왜 있는 것인가?"
"2110","노무현 대통령의 장단점과 자신을 연관시켜 말해보시오."
"2111","다른 회사에 지원하였는가?"
"2112","독창적인 아이디어를 낸 경험은 무엇인가?"
"2113","디젤엔진에서 진동소음을 줄이는 방법은?"
"2114","디젤엔진에서 N0X를 줄이는 방법은?"
"2115","무슨 일을 시작하기 전에 준비를 많이 하는 편인가?"
"2116","바이오 산업이 앞으로 전망있다고 생각하는가?"
"2117","본인이 가장 도전적으로 임했던 일은 무엇인가?"
"2118","본인이 했던 실패 경험은 무엇인가?"
"2119","성격이 내성적인데, 어떻게 극복할 것인가?"
"2120","소나타 NF 디자인 및 인테리어가 마음에 드는지 의견을 영어로 밝히시오."
"2121","승용차, SUV, RV등 종류가 많은데, 각각을 정의해봐라."
