"company","school","score","TOEIC","T.Speaking","OPIC","language","cert.ea_mean","overseas_exp","intern","prize","CSS"
"삼성전자(주)","고졸","-","551점","-","IM2","-","2.8개","2회","1.4회","2.4회","2.5회"
"삼성전자(주)","대학원졸","4.01/4.5","837점","Lv6","IM2","1.3개","2.1개","1.4회","1.3회","2.6회","2.5회"
"삼성전자(주)","초대졸","3.7/4.5","676점","Lv6","IM1","1.1개","2.5개","1.2회","1.3회","1.7회","1.6회"
"삼성전자(주)","대졸","3.69/4.5","843점","Lv6","IM3","1.2개","1.9개","1.3회","1.3회","2.1회","1.9회"
"LG전자(주)","고졸","-","955점","Lv7","-","-","2.2개","2회","1회","-","1회"
"삼성전자(주)","고졸","-","551점","-","IM2","-","2.8개","2회","1.4회","2.4회","2.5회"
"삼성전자(주)","대학원졸","4.01/4.5","837점","Lv6","IM2","1.3개","2.1개","1.4회","1.3회","2.6회","2.5회"
"삼성전자(주)","초대졸","3.7/4.5","676점","Lv6","IM1","1.1개","2.5개","1.2회","1.3회","1.7회","1.6회"
"삼성전자(주)","대졸","3.69/4.5","843점","Lv6","IM3","1.2개","1.9개","1.3회","1.3회","2.1회","1.9회"
"LG전자(주)","고졸","-","955점","Lv7","-","-","2.2개","2회","1회","-","1회"
"LG전자(주)","대학원졸","3.98/4.5","859점","Lv6","IM3","1.5개","1.8개","1.4회","1.4회","2.1회","1.9회"
"LG전자(주)","초대졸","3.62/4.5","653점","Lv4","-","1.1개","2.6개","1.1회","1.5회","1.2회","1.6회"
"LG전자(주)","대졸","3.65/4.5","830점","Lv6","IM3","1.1개","1.8개","1.2회","1.2회","1.4회","1.3회"
"에스케이하이닉스(주)","고졸","-","340점","-","-","2개","2.4개","2회","1회","3회","4회"
"에스케이하이닉스(주)","대학원졸","3.95/4.5","787점","Lv6","IM1","1.3개","1.7개","1.2회","2회","2.8회","2.5회"
"에스케이하이닉스(주)","초대졸","3.83/4.5","565점","-","-","1개","2.2개","1회","-","1.3회","1.8회"
"에스케이하이닉스(주)","대졸","3.68/4.5","829점","Lv6","IM3","1.1개","1.8개","1.2회","1.1회","1.3회","1.4회"
"삼성디스플레이 주식회사","고졸","-","356점","-","-","1개","2.4개","2회","1회","1.6회","1.3회"
"삼성디스플레이 주식회사","대학원졸","4.06/4.5","851점","Lv6","IM2","1개","1.7개","1.7회","1회","1회","1.3회"
"삼성디스플레이 주식회사","초대졸","3.71/4.5","417점","Lv4","IM1","-","2.4개","2회","2.5회","1.7회","1.2회"
"삼성디스플레이 주식회사","대졸","3.63/4.5","830점","Lv6","IM2","1.3개","1.9개","1.5회","1.1회","1.8회","1.6회"
"엘지디스플레이(주)","고졸","-","-","-","IM2","-","2.3개","-","1회","1회","1회"
"엘지디스플레이(주)","대학원졸","4/4.5","728점","Lv6","IM1","1개","1.3개","1.4회","-","1.7회","2회"
"엘지디스플레이(주)","초대졸","3.69/4.5","488점","-","IM1","1.3개","2.3개","1회","1.3회","1.5회","1.3회"
"엘지디스플레이(주)","대졸","3.64/4.5","813점","Lv6","IM2","1.2개","1.7개","1.2회","1.1회","1.7회","1.4회"
"(주)케이티","고졸","-","-","-","-","1개","2.1개","-","1회","-","-"
"(주)케이티","대학원졸","3.98/4.5","829점","Lv5","IM3","1.3개","2.4개","1.4회","1회","1.8회","3.5회"
"(주)케이티","초대졸","3.58/4.5","730점","-","-","1개","1.8개","1.3회","1회","-","1회"
"(주)케이티","대졸","3.64/4.5","844점","Lv6","IH","1.1개","2.1개","1.4회","1.3회","1.4회","1.6회"
"SK텔레콤(주)","고졸","-","-","-","-","1개","2.2개","2회","-","-","3회"
"SK텔레콤(주)","대학원졸","3.93/4.5","854점","Lv6","IM2","1개","2.5개","1.6회","1회","2회","4회"
"SK텔레콤(주)","초대졸","3.67/4.5","582점","-","-","1개","2.1개","1.3회","2회","1회","1회"
"SK텔레콤(주)","대졸","3.65/4.5","842점","Lv6","IM3","1.1개","1.9개","1.1회","1.2회","1.4회","1.3회"
"(주)LG유플러스","고졸","-","520점","-","-","-","1.6개","1회","3회","2회","2회"
"(주)LG유플러스","대학원졸","4.09/4.5","808점","-","IM2","-","2.5개","2회","-","-","-"
"(주)LG유플러스","초대졸","3.66/4.5","531점","Lv6","-","1개","1.9개","1.1회","1.2회","1.6회","1.7회"
